QuestionID,AnswerID,AnswerVote,CommentID,CommentVote,ParagraphIndex,SentenceIndex,Sentence,QuestionContext,CandidateAdditionalContext,Q1Rater1,Q1Rater2,Q1Rater3,Q1Agreement,Q2Rater1,Q2Rater2,Q2Rater3,Q2Agreement,AdditionContext,VotedAdditionalContexts,TagCategory,Reason
,,,,,,,or you can replace certain characters in the email client side and change them back server side ( worst case ),,email client,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,tool/application,necessary technical explanation or resouce
,,,,,,,or you can replace certain characters in the email client side and change them back server side ( worst case ),,server side,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
25452449,25452580,0,,,6,0,As a super worst case you could add the following in your web.config ( you should really avoid this otheriwse EVERY request on your site goes through the asp.net pipeline .,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",request,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming concept,necessary technical explanation or resouce
,,,,,,,As a super worst case you could add the following in your web.config ( you should really avoid this otheriwse EVERY request on your site goes through the asp.net pipeline .,,asp.net,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,library/framework,necessary technical explanation or resouce
,,,,,,,As a super worst case you could add the following in your web.config ( you should really avoid this otheriwse EVERY request on your site goes through the asp.net pipeline .,,super,No,No,No,No,,,,NA,No,,,
25452449,25452580,,39714889,0,0,0,"Ultimately , use the querystring method to get around the dot in the route","javascript ,json ,.net ,c# ,email ,asp.net-web-api",dot,No,No,No,No,,,,NA,No,,,
25452449,25452580,,39714969,0,0,1,- you likely have a different setting on IIS than your local server .,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",iis,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,web server,necessary technical explanation or resouce
25452449,25452580,,39715020,0,0,1,on IIS ?,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",iis,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,web server,necessary technical explanation or resouce
25452449,25452580,,39715363,0,0,1,"- and per IIS , you need to compare .","javascript ,json ,.net ,c# ,email ,asp.net-web-api",iis,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,web server,necessary technical explanation or resouce
25452449,,,39714448,0,0,0,Have you tried debugging the server - side code ?,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",debugging,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming concept,necessary technical explanation or resouce
,,,,,,,Have you tried debugging the server - side code ?,,server side,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
25452449,,,39714549,0,0,0,Internal Server Error is about server side error .,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",server side,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
25452449,,,39714549,0,0,1,So you must show us your server side code .,"javascript ,json ,.net ,c# ,email ,asp.net-web-api",server side,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
68445282,68447020,0,,,0,0,"I guess Fetch might initiate a "" PreFlight "" ... So "" OPTIONS "" Http Method might have to be enabled .","javascript ,json ,testing ,amazon-web-services ,amazon-s3 ,cors",http,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,protocol,necessary technical explanation or resouce
68445282,68447020,0,,,3,0,"and if / when you have it working , do clean up the policy to restrict to only whats necessary , and cross check on other settings you might have done which was probably non needed , specifically security / access related .","javascript ,json ,testing ,amazon-web-services ,amazon-s3 ,cors",settings,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
68296888,68299014,3,,,1,0,You will need JsonConverter ( and reference to Microsoft Scripting Runtime for Dictionary object ),"http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",scripting,No,No,No,No,,,,,No,,,
68296888,68306348,2,,,0,0,I would want more certainty over matching the correct JavaScript object than given by the current Instr methods ( which could be extended to include the var jsonData pattern as well . ),"http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",javascript,Yes,Yes,Yes,No,No,No,No,,No,,,
68296888,68306348,2,,,0,1,"In case of using regex then the following pattern can be used , which will allow for line break matching .","http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",break,No,No,No,No,,,,,No,,,
68296888,68306348,2,,,0,2,"Note , you only need one entire match then parse the JavaScript array returned with a json parser .","http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",javascript,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,necessary technical explanation or resouce
68296888,,,120705133,3,0,2,"You need to get 200 as status which means OK , otherwise your htmltext is not what you expect .","http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",status,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,computing concept,necessary technical explanation or resouce
,,,,,,,"You need to get 200 as status which means OK , otherwise your htmltext is not what you expect .",,expect,No,No,No,No,,,,,No,,,
68296888,,,120706177,1,0,0,"Tried "" \ { ( [ ^ } ] + ) \ } "" with "" [ { ' Url ' : ' http://s.cafef.vn/upcom/A32-cong-ty-co-phan-32.chn‌​ ' } , { ' Url ' : ' http://s.‌​cafef.vn/upcom/YTC-c‌​ong-ty-co-phan-xuat-‌​nhap-khau-y-te-thanh‌​-pho-ho-chi-minh.chn‌​ ' } ] "" .","http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",co,No,No,No,No,,,,,No,,,
68296888,,,120707428,1,0,1,I think the better approach here is SeleniumBasic to use the Chrome browser to make the job with JS .,"http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",browser,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,tool/application,necessary technical explanation or resouce
68296888,,,120707428,1,0,2,You can look here at the answer of YasserKhalil how to install SeleniumBasic and the latest WebDriver : stackoverflow.com/questions/57216623/ …,"http ,json ,request ,http request ,doc ,testing ,html ,excel ,regex ,vba",webdriver,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,api,necessary technical explanation or resouce
67939740,67940539,,120115681,0,0,0,"For reference only , I added below code to my service layer to get a json view of the post object and that helped with the troubleshooting : import com.fasterxml.jackson.databind.ObjectMapper ; ObjectMapper mapper = new ObjectMapper ( ) ; String projectString = mapper.writeValueAsString ( project ) ; log.info ( projectString ) ;","format ,json ,jackson ,java ,spring",objectmapper,Yes,No,Yes,No,No,,No,,No,,,
3640359,3640376,133,,,0,0,You can create an iterator in Python 3.x or a list in Python 2.x by using :,"filter ,python ,regex",python 3.x,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,solution conditions - version
,,,,,,,You can create an iterator in Python 3.x or a list in Python 2.x by using :,,python 2.x,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming language,solution conditions - version
3640359,3640376,133,,,1,0,"To convert the Python 3.x iterator to a list , simply cast it ; list ( filter ( .","filter ,python ,regex",python 3.x,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,solution conditions - version
3640359,3640376,,92495980,4,0,0,"@rbatt r.match is a method that , when applied to a given string , finds whether the regex r matches that string ( and returns a corresponding match object if so , but that does n't matter in this case as we just care whether the result is truthy )","filter ,python ,regex",r,No,No,No,No,,,,,No,,,
3640359,39593126,219,,,0,0,Full Example ( Python 3 ) : For Python 2.x look into Note below,"filter ,python ,regex",python 2.x,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,solution conditions - version
3640359,39593126,219,,,3,0,"For Python 2.x developers , filter returns a list already .","filter ,python ,regex",python 2.x,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,solution conditions - version
3640359,39593126,219,,,3,1,In Python 3.x filter was changed to return an iterator so it has to be converted to list ( in order to see it printed out nicely ) .,"filter ,python ,regex",python 3.x,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,solution conditions - version
3640359,39593126,219,,,4,0,Python 3 code example Python 2.x code example,"filter ,python ,regex",python 2.x,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,solution conditions - version
3640359,39593126,,67361873,1,0,3,"Of course it works , though not sure why I get that msg .","filter ,python ,regex",msg,No,No,No,No,,,,,No,,,
3640359,39593126,,98912955,3,0,1,This is why R is superior .,"filter ,python ,regex",r,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming language,necessary technical explanation or resouce
3640359,39593126,,98912955,3,0,2,"Simply grep ( pattern , vector_of_names )","filter ,python ,regex",grep,No?,Yes,Yes,Yes,,No,No,No,Yes,Yes,tool/application,necessary technical explanation or resouce
3640359,39593126,,106001737,0,0,2,"* cat "" , my_string ) .","filter ,python ,regex",cat,No,No,No,No,,,,,No,,,
43421755,43421819,11,,,9,0,"Note that use of Select - String is a bit heavy - handed for use with a single input string , but it 's the right tool to use for large input collections , such as a file 's lines .","powershell ,regex ,expect ,alphabetical ,b",collections,No,No,No,No,,,,,No,,,
68384084,,,120856892,0,0,2,Can you guys post as answer so I can accept / upvote - if you want the rep ?,"zipcode ,regex ,zip",rep,No,No,No,No,,,,,No,,,
68139994,68140813,1,,,1,0,"If for some reason you do need to capture the character , you can use r ' \ 1 ' to refer back to it .","python ,regex",refer,No,No,Yes,No,,,No,,No,,,
,,,,,,,"If for some reason you do need to capture the character , you can use r ' \ 1 ' to refer back to it .",,r,No,No,No,No,,,,,No,,,
68139994,68140813,1,,,2,0,"The notation r ' ... ' produces a "" raw string "" where backslashes only represent themselves .","python ,regex",r,No,No,No,No,,,,,No,,,
68139994,68140813,1,,,2,1,"In Python , backslashes in strings are otherwise processed as escapes - for example , ' \ n ' represents the single wharacter newline , whereas r ' \ n ' represents the two literal characters backslash and n ( which in a regex match a literal newline ) .","python ,regex",r,No,No,No,No,,,,,No,,,
1812891,1812898,47,,,0,1,It simply is n't possible to build a filter that 's smarter than the people who hack SQL for a living .,"escaping ,java ,sql-injection ,regex ,sql",filter,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,computing concept,necessary technical explanation or resouce
1812891,1812898,,1702489,3,0,0,"@Cylon Cat : Sure , when a chunk of SQL ( like @WhereClause or @tableName ) is passed as the parameter , concatenated into the SQL , and executed dynamically .","escaping ,java ,sql-injection ,regex ,sql",cat,No,No,No,No,,,,,No,,,
1812891,1812898,,1702521,0,0,3,"SQL Server is really good about that ; Oracle is iffy with it on update statements , but fine on queries .","escaping ,java ,sql-injection ,regex ,sql",oracle,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,database,necessary technical explanation or resouce
,,,,,,,"SQL Server is really good about that ; Oracle is iffy with it on update statements , but fine on queries .",,sql server,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,database,necessary technical explanation or resouce
1812891,1812898,,1702781,0,0,2,"NET , I know of nothing like PreparedStatements , but the combination of LINQ and an ORM provides even more safety , productivity , and maintainability .","escaping ,java ,sql-injection ,regex ,sql",linq,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,library/framework,necessary technical explanation or resouce
1812891,1812898,,1702781,0,0,3,"Because LINQ is integrated into C# and VB , everything about your query and results are strongly named , strongly typed , and compiler - checked .","escaping ,java ,sql-injection ,regex ,sql",c#,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming language,necessary technical explanation or resouce
,,,,,,,"Because LINQ is integrated into C# and VB , everything about your query and results are strongly named , strongly typed , and compiler - checked .",,linq,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,library/framework,necessary technical explanation or resouce
1812891,1812898,,1703207,0,0,1,"The idea of a "" prepared statement "" is fully present in .","escaping ,java ,sql-injection ,regex ,sql",prepared statement,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,programming concept,necessary technical explanation or resouce
1812891,1812898,,1703207,0,0,2,"NET , though ; the DbCommand ( and associated DbParameter ) abstract class provide full support for parameterizing your SQL , depending on the provider .","escaping ,java ,sql-injection ,regex ,sql",abstract class,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming concept,
1812891,1812898,,1703366,0,0,0,"I 've been using a homebrew mysql / java solution where a statement such as "" select * from sometable where somefield = ' [ somefield ] ' "" then when I execute the query My code first escapes characters in each of the argument values ... [ somefield ] and then does a replace of somefield with the escape string .","escaping ,java ,sql-injection ,regex ,sql",homebrew,No,Yes,No,No,,No,,,No,,,
,,,,,,,"I 've been using a homebrew mysql / java solution where a statement such as "" select * from sometable where somefield = ' [ somefield ] ' "" then when I execute the query My code first escapes characters in each of the argument values ... [ somefield ] and then does a replace of somefield with the escape string .",,mysql,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,,,
1812891,1812898,,1703401,0,0,0,"@Adam , I see the parallel ; DBCommand is an aggregate of SQL command , parameters , connection reference , and methods to execute the command .","escaping ,java ,sql-injection ,regex ,sql",command,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
1812891,1812898,,1703401,0,0,1,"However , "" PreparedStatement "" suggested the idea of preparing an execution plan ; I do n't know if any modern databases still require this as an explicit step in client code .","escaping ,java ,sql-injection ,regex ,sql",client,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
1812891,1812898,,1703401,0,0,2,"I know in SQL Server , it 's handled automatically on the server side .","escaping ,java ,sql-injection ,regex ,sql",server side,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
,,,,,,,"I know in SQL Server , it 's handled automatically on the server side .",,sql server,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,database,necessary technical explanation or resouce
1812891,1812898,,24046180,1,0,4,Of COURSE that can be abused ; you 've removed the requirement to perform an injection attack by inserting an IV feed into your system and giving the other end to a stranger .,"escaping ,java ,sql-injection ,regex ,sql",feed,No,No,No,No,,,,,No,,,
1812891,1812898,,70702831,0,0,1,WIth parameterised queries you do n't concatenate chunks of strings into the query but rather use parameter placeholders and then bind the user input using the JDBC / JPA API .,"escaping ,java ,sql-injection ,regex ,sql",user input,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
,,,,,,,WIth parameterised queries you do n't concatenate chunks of strings into the query but rather use parameter placeholders and then bind the user input using the JDBC / JPA API .,,bind,No,No,Yes,No,,,No,,No,,,
,,,,,,,WIth parameterised queries you do n't concatenate chunks of strings into the query but rather use parameter placeholders and then bind the user input using the JDBC / JPA API .,,jdbc,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,standard,necessary technical explanation or resouce
1812891,1812898,,70759995,0,0,1,"You might not call this a “ parameterized query , ” but that phrase is sufficiently imprecise that others might .","escaping ,java ,sql-injection ,regex ,sql",parameterized query,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,programming concept,necessary technical explanation or resouce
1812891,1812920,261,,,1,0,"No matter what characters are in name and email , those characters will be placed directly in the database .","escaping ,java ,sql-injection ,regex ,sql",email,No,Yes,No,No,,No,,,No,,,
1812891,1812920,,1702262,1,0,1,"I 'm not familiar with PrepareStatement , so the real question is does it generate a parameterized query that can then be executed with ExecuteUpdate .","escaping ,java ,sql-injection ,regex ,sql",parameterized query,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,programming concept,necessary technical explanation or resouce
1812891,1812920,,1702263,2,0,2,I posted a link to the PreparedStatement docs that list all the setter types .,"escaping ,java ,sql-injection ,regex ,sql",setter,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,,,
1812891,1812920,,3637956,0,0,0,Could you please properly close JDBC resources on error ?,"escaping ,java ,sql-injection ,regex ,sql",jdbc,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,standard,other
1812891,1812920,,3637956,0,0,2,If you do not like direct use of JDBC API you can use static.springsource.org/spring/docs/3.0.x/javadoc-api/org/ …,"escaping ,java ,sql-injection ,regex ,sql",jdbc,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,standard,other
1812891,1812920,,44147835,0,0,0,"If the query is made at run - time not only in program but also in Stored procedure , then it becomes tricky .","escaping ,java ,sql-injection ,regex ,sql",procedure,No,Yes,No,No,,No,,,No,,,
1812891,1812920,,44147835,0,0,3,So you ca n't use a static prepared query .,"escaping ,java ,sql-injection ,regex ,sql",static,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming concept,necessary technical explanation or resouce
1812891,1812920,,49701493,1,0,1,In my understanding they just make injection take more effort .,"escaping ,java ,sql-injection ,regex ,sql",effort,No,No,No,No,,,,,No,,,
1812891,1812920,,49701493,1,0,3,point 1 here and by FindBugs SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING : ... SQL injection could be used to make the prepared statement do something unexpected and undesirable .,"escaping ,java ,sql-injection ,regex ,sql",findbugs,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,tool/application,necessary technical explanation or resouce
,,,,,,,point 1 here and by FindBugs SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING : ... SQL injection could be used to make the prepared statement do something unexpected and undesirable .,,prepared statement,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,,
1812891,1812920,,93263935,0,0,1,Here 's a short video that demonstrates using Prepared Statements with Java JDBC .,"escaping ,java ,sql-injection ,regex ,sql",jdbc,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,standard,necessary technical explanation or resouce
1812891,1812931,40,,,0,1,From the OWASP ESAPI hosted on Google Code :,"escaping ,java ,sql-injection ,regex ,sql",esapi,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,library/framework,necessary technical explanation or resouce
1812891,1812931,40,,,1,1,Reinventing the wheel when it comes to developing security controls for every web application or web service leads to wasted time and massive security holes .,"escaping ,java ,sql-injection ,regex ,sql",massive,No,No,No,No,,,,,No,,,
1812891,1812931,40,,,1,2,The OWASP Enterprise Security API ( ESAPI ) Toolkits help software developers guard against security ‐ related design and implementation flaws .,"escaping ,java ,sql-injection ,regex ,sql",guard,No,No,No,No,,,,,No,,,
,,,,,,,The OWASP Enterprise Security API ( ESAPI ) Toolkits help software developers guard against security ‐ related design and implementation flaws .,,esapi,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,library/framework,solution - suggest API/library/framework
1812891,1812931,40,,,3,0,Pay a special attention to Defense Option 3 : Escaping All User Supplied Input that introduces the OWASP ESAPI project ) .,"escaping ,java ,sql-injection ,regex ,sql",esapi,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,library/framework,solution - suggest API/library/framework
1812891,1812931,,75565591,4,0,0,The ESAPI seems defunct as of today .,"escaping ,java ,sql-injection ,regex ,sql",esapi,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,
1812891,1812931,,75565591,4,0,1,"On AWS there is WAF which can help against SQL injection , XSS etc. are there any other alternatives at this point ?","escaping ,java ,sql-injection ,regex ,sql",waf,No,No,No,No,,,,,No,,,
1812891,1812931,,96503246,0,0,0,@ChrisOdney A WAF can be easily bypassed .,"escaping ,java ,sql-injection ,regex ,sql",waf,No,No,No,No,,,,,No,,,
1812891,1812931,,96503246,0,0,1,Most Frameworks already implement their own SQL - Injection prevention in which they escape parameters automatically by their own .,"escaping ,java ,sql-injection ,regex ,sql",frameworks,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
1812891,1812931,,96503246,0,0,2,Alternatives for legacy projects : owasp.org/index.php/ …,"escaping ,java ,sql-injection ,regex ,sql",legacy,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,solution conditions - environment
1812891,1812988,6,,,0,0,"In case you are dealing with a legacy system , or you have too many places to switch to PreparedStatements in too little time - i.e. if there is an obstacle to using the best practice suggested by other answers , you can try AntiSQLFilter","escaping ,java ,sql-injection ,regex ,sql",legacy,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,computing concept,solution conditions - environment
1812891,1823512,,1724861,1,0,1,"Ultimately PreparedStatements is the answer , but for my current objective your answer is the answer I need , would you be upset if I gave the answer to one of the earlier prepared statement 's answers , or is there a way to share the answer between a couple ?","escaping ,java ,sql-injection ,regex ,sql",prepared statement,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,computing concept,necessary technical explanation or resouce
1812891,4659572,13,,,0,2,Check out the SQL Injection Prevention Cheat Sheet on the OWASP Site for more details and APIs in different programming languages .,"escaping ,java ,sql-injection ,regex ,sql",programming languages,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,computing concept,necessary technical explanation or resouce
1812891,4659572,,100618610,2,0,0,OWASP cheatsheets have been moved to GitHub .,"escaping ,java ,sql-injection ,regex ,sql",github,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,hosting service,necessary technical explanation or resouce
1812891,34644781,7,,,0,2,"However , what I did was look at the source code for http://grepcode.com/file/repo1.maven.org/maven2/mysql/mysql-connector-java/5.1.31/com/mysql/jdbc/PreparedStatement.java .","escaping ,java ,sql-injection ,regex ,sql",connector,No,No,No,No,,,,,No,,,
1812891,34644781,7,,,0,4,"After all , if this is the list of characters that Oracle escapes , then knowing this is really comforting security-wise .","escaping ,java ,sql-injection ,regex ,sql",oracle,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,database,necessary technical explanation or resouce
,,,,,,,"After all , if this is the list of characters that Oracle escapes , then knowing this is really comforting security-wise .",,wise,No,No,No,No,,,,,No,,,
1812891,34644781,7,,,0,5,Maybe Oracle need a nudge to add a method similar to this one for the next major Java release .,"escaping ,java ,sql-injection ,regex ,sql",oracle,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,database,necessary technical explanation or resouce
1812891,34644781,,60973257,2,0,1,"Now in newer mysql - connector - java - xxx , the case ' \ u00a5 ' and case ' \ u20a9 ' statements seem having been removed","escaping ,java ,sql-injection ,regex ,sql",mysql,Yes,Yes,Yes,No,No,No,No,,No,,,
,,,,,,,"Now in newer mysql - connector - java - xxx , the case ' \ u00a5 ' and case ' \ u20a9 ' statements seem having been removed",,connector,??,Yes,Yes,No,,No,No,,No,,,
1812891,34644781,,120870977,0,0,0,"Sorry , I have a question ... After you have created this class how do you connect it to the rest of the Java application ?","escaping ,java ,sql-injection ,regex ,sql",connect,No,No,No,No,,,,,No,,,
1812891,38357248,9,,,0,0,"Prepared Statements are the best solution , but if you really need to do it manually you could also use the StringEscapeUtils class from the Apache Commons - Lang library .","escaping ,java ,sql-injection ,regex ,sql",apache commons,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,library/framework,solution - suggest API/library/framework
1812891,39440337,0,,,0,0,"After searching an testing alot of solution for prevent sqlmap from sql injection , in case of legacy system which cant apply prepared statments every where .","escaping ,java ,sql-injection ,regex ,sql",apply,No,No,No,No,,,,,No,,,
,,,,,,,"After searching an testing alot of solution for prevent sqlmap from sql injection , in case of legacy system which cant apply prepared statments every where .",,testing,Yes,Yes,No,Yes,No,No,,No,Yes,No,programming concept,necessary technical explanation or resouce
,,,,,,,"After searching an testing alot of solution for prevent sqlmap from sql injection , in case of legacy system which cant apply prepared statments every where .",,sqlmap,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,tool/application,necessary technical explanation or resouce
,,,,,,,"After searching an testing alot of solution for prevent sqlmap from sql injection , in case of legacy system which cant apply prepared statments every where .",,legacy,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,computing concept,necessary technical explanation or resouce
1812891,39440337,0,,,1,0,java - security - cross-site-scripting-xss-and-sql-injection topic WAS THE SOLUTION,"escaping ,java ,sql-injection ,regex ,sql",scripting,No,Yes,No,No,,No,,,No,,,
1812891,39440337,0,,,2,1,i used a filter,"escaping ,java ,sql-injection ,regex ,sql",filter,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,computing concept,solution - own experience
1812891,39440337,0,,,3,0,The goal of this filter is to wrapper the request into an own - coded wrapper MyHttpRequestWrapper which transforms :,"escaping ,java ,sql-injection ,regex ,sql",filter,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,computing concept,necessary technical explanation or resouce
,,,,,,,The goal of this filter is to wrapper the request into an own - coded wrapper MyHttpRequestWrapper which transforms :,,request,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming concept,necessary technical explanation or resouce
1812891,39440337,0,,,4,0,"the HTTP parameters with special characters ( < , > , ‘ , … ) into HTML codes via the org.springframework.web.util.HtmlUtils.htmlEscape ( … ) method .","escaping ,java ,sql-injection ,regex ,sql",http,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,protocol,necessary technical explanation or resouce
,,,,,,,"the HTTP parameters with special characters ( < , > , ‘ , … ) into HTML codes via the org.springframework.web.util.HtmlUtils.htmlEscape ( … ) method .",,html,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,programming language,necessary technical explanation or resouce
1812891,39440337,0,,,4,1,"Note : There is similar classe in Apache Commons : org.apache.commons.lang.StringEscapeUtils.escapeHtml ( … ) the SQL injection characters ( ‘ , “ , … ) via the Apache Commons classe org.apache.commons.lang.StringEscapeUtils.escapeSql ( … )","escaping ,java ,sql-injection ,regex ,sql",apache commons,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,library/framework,necessary technical explanation or resouce
1812891,39440337,,110265510,0,0,0,Is it good the java - security - cross-site-scripting-xss-and-sql-injection topic ?,"escaping ,java ,sql-injection ,regex ,sql",scripting,No,Yes,No,No,,Yes,,,No,,,
